Regions,County,IP Name,Website URL,Site City,Description,Latitude,Longitude,Subcategories,Minor Categories,Image URL,Location
Capital-Saratoga,Albany County,74 State,http://www.74state.com,Albany,"Conveniently located on historic State Street in the heart of Albany's financial and legal districts and just steps away from the State Capitol. 74 State defines upscale lodging and sophisticated fine dining in the Capital Region. Intimate in scale, 74 State offers unyielding attention to the comfort and well-being of its guests and dining patrons comparable to the finest hotels in the world.  Audubon Greenleaf rated.",42.6493879,-73.7521756,Hotels & Motels,Hotels & Motels,,"(42.6493879, -73.7521756)"
Capital-Saratoga,Albany County,Abany Comfort Inn & Suites Wolf Road,http://www.daysinnalbany.com,Albany,"Outdoor pool, continental breakfast, HBO, Lodgenet Movies & Nintendo.",42.710471,-73.821243,Hotels & Motels,Hotels & Motels,,"(42.710471, -73.821243)"
Capital-Saratoga,Albany County,Albany Airport Courtyard by Marriott,http://www.marriott.com/albca,Albany,"Featuring spacious guestrooms, dual-line telephones with voicemail, data port, complimentary coffee, hair dryer, iron/board, complimentary high speed internet, Courtyard Cafe serving breakfast daily and The Market. Conveniently located near restaurants, malls, Albany International Airport (ALB) and 12 minutes to downtown Albany.",42.722109,-73.803955,Hotels & Motels,Hotels & Motels,,"(42.722109, -73.803955)"
Capital-Saratoga,Albany County,Albany Hilton Garden Inn Albany SUNY,http://www.albanysunyarea.stayhgi.com,Albany,"Located across from the Albany NanoTech Center and State University of New York (SUNY) Albany. This seven-story hotel is the tallest, most visible hotel on Washington Avenue. Just 5 mi northwest of downtown Albany, 5 mi south of Albany International Airport and the Wolf Road market area. It is adjacent to the interchange of Albany, I-90  and I-87. Within easy reach of the state capitol buildings, the Hudson River and other attractions. Shopping malls and numerous restaurants are nearby.",42.69,-73.82,Hotels & Motels,Hotels & Motels,,"(42.69, -73.82)"
Capital-Saratoga,Albany County,Albany Marriott Hotel (Wolf Rd),http://www.albanymarriott.com,Albany,"Just off exit 4 of Adirondack Northway I-87, convenient to airport, downtown, capital, SUNY & Saratoga.",42.720021,-73.804543,Convention Centers|Hotels & Motels,Convention centers|Hotels & Motels,,"(42.720021, -73.804543)"
Capital-Saratoga,Albany County,Albany Ramada Plaza,http://www.albanyramada.com,Albany,"A Mid-Town Albany Hotel near the Times Union Center. Discover a haven of modern elegance, and attentive service. With 216 rooms, the Albany Ramada offers all the amenities of a luxury hotel at a price that offers significant value. Our Capital District location offers easy access to Downtown Albany, and is a short ride from Lake George and Saratoga Springs.",42.680881,-73.783293,Hotels & Motels,Hotels & Motels,,"(42.680881, -73.783293)"
Capital-Saratoga,Albany County,Albany Thruway Courtyard by Marriott,http://www.marriott.com/albws,Albany,"Featuring spacious guestrooms & suites, dual-line telephones with voicemail, dataports, complimentary coffee, hair dryer, iron/board, complimentary high speed internet, Courtyard Cafe serving breakfast daily, and The Market located directly across from SUNY Albany, 5 minutes to downtown Albany and 5 miles to the Albany International Airport.",42.690688,-73.821257,Hotels & Motels,Hotels & Motels,,"(42.690688, -73.821257)"
Capital-Saratoga,Albany County,Altamont Old Stone House Inn,http://www.altamontinn.com,Albany,"18th century stone house situated on 2 acres, affording guests a quiet, retreat setting close to downtown Albany.  A full breakfast is served each morning.",42.64,-73.79,B&Bs & Country Inns,B&Bs & Country Inns,,"(42.64, -73.79)"
Capital-Saratoga,Albany County,Angel's Bed & Breakfast/Cafe,http://www.angelsbedandbreakfast.com,Albany,"A unique urban Inn located in the heart of Downtown Albany within walking distance to the Capitol, The Egg, the New York State museum and theatres.  This luxurious, intimate private home offers three individually decorated rooms located on the second floor and a cafe' on the first level. Built for John Stafford around 1811, and rehabilitated in 2003, it was known as a crown jewel of a gracious period of buildings in the early 19th century.  Angel's also offers Sunday brunch, catering and private function space.",42.72,-73.88,B&Bs & Country Inns,B&Bs & Country Inns,,"(42.72, -73.88)"
Capital-Saratoga,Albany County,Best Western Albany Airport Inn,http://www.bestwesternalbanyairport.com,Albany,"Free continental breakfast, restaurant & lounge, in-room coffee maker, hair dryer, iron/board, complimentary health club passes , and free HBO. Located near Albany's finest shopping and restaurants and about a half hour from Saratoga.",42.721164,-73.804092,Convention Centers|Hotels & Motels,Convention centers|Hotels & Motels,,"(42.721164, -73.804092)"
Capital-Saratoga,Albany County,Century House - A Clarion Hotel,http://www.thecenturyhouse.com,Latham,"The Clarion Hotel Century House & Restaurant is a unique blend of American tradition and charm with contemporary amenities.  We offer various sizes of meeting rooms and banquet rooms, 61 luxurious guest rooms, 3 suites and 4 extended stay apartments.  Unique 1/2 mile nature-jogging trail.  Family owned and operated for 56 years.  Audubon Greenleaf rated.",42.7707802,-73.7535958,Hotels & Motels,Hotels & Motels,,"(42.7707802, -73.7535958)"
Capital-Saratoga,Albany County,"Cocca's Inn & Suites, Route 7",http://www.coccas.com,Latham,"Featuring deluxe accommodations, beautiful, private Jacuzzi, honeymoon, and Executive suites. HBO, High Speed Internet Access.",42.76,-73.8,Hotels & Motels,Hotels & Motels,,"(42.76, -73.8)"
Capital-Saratoga,Albany County,"Cocca's Inn & Suites, Route 9",http://www.coccas.com,Latham,"Featuring deluxe accommodations, beautiful, private Jacuzzi, honeymoon, and Executive suites. HBO, High-speed internet access.",42.74,-73.76,Hotels & Motels,Hotels & Motels,,"(42.74, -73.76)"
