Region,County,Title,Description,Latitude,Longitude,Tags 1,Tags 2,Website URL,Photo URL,Location
Capital-Saratoga,Albany County,Albany Basketball & Sports Corp,"This is a sports & convention center that can entertain concerts, the circus, graduations, boxing, basketball etc.",42.652579299999999,-73.756231700000001,Sports & Gaming,Arenas,http://www.albanypats.com,,"(42.652579299999999, -73.756231700000001)"
Capital-Saratoga,Albany County,Albany Center Gallery,"The Albany Center Galleries exhibits and promotes contemporary visual art produced by emerging and established artists living primarily within a 100-mile radius of Albany and to inspire interest to an increasingly diverse audience.  All of the Gallery's exhibitions, receptions and artist interviews are free and open to the public.",42.652509000000002,-73.749865,Museums,Art & Culture Museums,http://albanycentergallery.org,http://iloveny.com/d3k/mem/Generic/7234/1777.jpg,"(42.652509000000002, -73.749865)"
Capital-Saratoga,Albany County,Albany City Hall,"1881, in Richardsonian Romanesque Revival style, architect Henry Hobson Richardson.",42.651724799999997,-73.755053399999994,History & Culture,Historic sites,http://www.albanyny.org,http://iloveny.com/d3k/mem/Generic/7262/1790.jpg,"(42.651724799999997, -73.755053399999994)"
Capital-Saratoga,Albany County,Albany County Dept. of Planning,Provides bike maps for the Mohawk-Hudson Bikeway.,42.649979000000002,-73.754275000000007,Land Adventures,Bicycling,,,"(42.649979000000002, -73.754275000000007)"
Capital-Saratoga,Albany County,"Albany County Historical Society, Ten Broeck Mansion","Brick federal-style home built in 1798 by Abraham & Elizabeth Ten Broeck, with later Greek Revival enhancements. History program for all ages:home of Albany County Historical Association.",42.655340000000002,-73.750805,History & Culture|Tours & Excursions,Historic sites|Walking tours,http://www.tenbroeckmansion.org,http://iloveny.com/d3k/mem/Generic/3597/1136.jpg,"(42.655340000000002, -73.750805)"
Capital-Saratoga,Albany County,Albany Devils - Ice Hockey,Ice hockey,42.648339999999997,-73.753957,Sports & Gaming,Sports teams,http://thealbanydevils.com,,"(42.648339999999997, -73.753957)"
Capital-Saratoga,Albany County,Albany Firebirds,Albany's arena football team,42.648339999999997,-73.753957,Sports & Gaming,Sports teams,http://www.albanyconquest.com/,,"(42.648339999999997, -73.753957)"
Capital-Saratoga,Albany County,Albany Heritage Area Visitors Center,"Staffed information center, history gallery, orientation films, planetarium, gift shop, special events, seasonal trolley tours and self-guided walking tours.",42.654204999999997,-73.748063999999999,Agencies|Arts & Culture|Convention Centers|Group|History & Culture|Land Adventures|Motorcoach Companies|Museums|Shopping|Special Services|Tour Operators|Tours & Excursions,Art & Culture Museums|Arts & Crafts|Children's|Children's|Children's museums|Community art centers|Crafts & Artisans|Galleries & Art spaces|Historic sites|Historical|Historical museums|History & Culture|InfoCenter (walk-in)|Local tourism|Military history|Museums|Other museums|Science-Natural History|Specialty Shopping|Trolley rides|Walking tours,http://www.albany.org,http://iloveny.com/d3k/mem/Generic/7263/1791.jpg,"(42.654204999999997, -73.748063999999999)"
Capital-Saratoga,Albany County,Albany Institute of History & Art,"Founded in 1791, during the presidency of George Washington, making it older than the Louvre, the Smithsonian, & the Metropolitan Museum of Art. Dedicated to collecting, preserving, interpreting and promoting interest in the history, art & culture of Albany and the Upper Hudson River Valley Region.",42.655717000000003,-73.760244,Arts & Culture|History & Culture|Museums|Path Through History,Art & Culture Museums|Art & Culture Museums|Galleries & Art spaces|Historic sites|Historical|History & Culture|Museums,http://www.albanyinstitute.org,http://iloveny.com/d3k/mem/Generic/7266/1798.jpg,"(42.655717000000003, -73.760244)"
Capital-Saratoga,Albany County,Albany International Airport (ALB),"As the major air center for the Capital Region, Northeastern NY and Western New England, ALB offers a wide range of facilities and services.",42.744492899999997,-73.813690500000007,Agencies|Arts & Culture|Shopping|Transportation,Airports|Galleries & Art spaces|InfoCenter (walk-in)|Specialty Shopping,http://www.albanyairport.com,http://iloveny.com/d3k/mem/Generic/3948/1260.jpg,"(42.744492899999997, -73.813690500000007)"
Capital-Saratoga,Albany County,Albany Legends (Basketball),The Washington Avenue Armory is one of the more historied venues for minor league basketball; hundreds of NBA players have come through the Armory to play against the Albany Patroons over the years.,42.656471199999999,-73.762752300000002,Sports & Gaming,Sports teams,http://www.iblhoopsonline.com/albany_legends,,"(42.656471199999999, -73.762752300000002)"
Capital-Saratoga,Albany County,Albany Marine Service,Marina located on the Hudson River-Gateway to the Erie Canal.,42.823307200000002,-73.732614400000003,Water Adventures,Marinas,,,"(42.823307200000002, -73.732614400000003)"
Capital-Saratoga,Albany County,Albany Pine Bush Preserve Commission,"One of the best remaining examples of inland pine barren ecosystem in the world; sand plain is home to a unique diversity of animals & plants, including 20 rare species & two rare natural communities; outdoor recreation, research, nature study, hands-on activities, & respite.",42.718693500000001,-73.864771500000003,Land Adventures|Nature|Outdoor Guide Services|See & Do|Snow Adventures|Tours & Excursions,Bicycling|Birding|Hiking|Nature|Nature Centers|Skiing (XC)|Snowshoeing|Walking tours|Wildlife Refuges,http://www.albanypinebush.org,,"(42.718693500000001, -73.864771500000003)"
Capital-Saratoga,Albany County,Albany Rowing Center - ARC,Provides recreational and competitive rowing opportunities for youths and adults at all levels. Holds rowing events.,42.652464100000003,-73.748593900000003,Sports & Gaming|Water Adventures|Wellness,,http://albanyrowingcenter.org,,"(42.652464100000003, -73.748593900000003)"
Capital-Saratoga,Albany County,Albany Rural Cemetery,"The A.R.C. is one of the most beautiful and historic cemeteries in upstate NY.  Its 467 acres of landscaped grounds include the burial plots of many distinguished national and local dignitaries.  Most noted is Chester A. Arthur, 21st President of the US.",42.704532,-73.723962999999998,History & Culture,Cemetaries,http://www.albanyruralcemetery.org,http://iloveny.com/d3k/mem/Generic/9131/2183.jpg,"(42.704532, -73.723962999999998)"
Capital-Saratoga,Albany County,Albany Symphony,"Founded 1930; committed to the live presentation & recording of top-quality, musical programming, with emphasis on American works from all cultural & economic backgrounds.",42.654510999999999,-73.750174999999999,Arts & Culture,Music,http://www.albanysymphony.com,,"(42.654510999999999, -73.750174999999999)"
Capital-Saratoga,Albany County,Albany Trolley,"Albany Trolley tours take you through the historic streets of Albany. Reserve for charter: event, theme, educational, & party tours. (mid-April to November). Limited Wheelchair Accessibility.",42.654040899999998,-73.748252699999995,See & Do|Tour Operators|Tours & Excursions|Water Adventures,Boat tours|Tour operators|Tours & Excursions|Trolley rides,http://www.albanyaquaducks.com,http://iloveny.com/d3k/mem/Generic/8563/2106.jpg,"(42.654040899999998, -73.748252699999995)"
Capital-Saratoga,Albany County,Albany Trolley Tours,"Hop on board the Albany Trolleys to enjoy a narrated tour of New York's Capital City. One ticket is good to ride all day, if you wish. Get the overview of Albany on a one-hour tour or enjoy the sites by exercising the option of getting off and re-boarding at any time during the day at one of the 20 Trolley stops on the tour. Operated by the Albany Aqua Ducks - recognized leaders in Capital Region tour operations - the Albany Trolleys also have special packages with restaurants and entertainmentvenues in Albany. Plus, they're available for charter - corporate outings, proms, bar/bat mitzvahs, weddings, reunions, birthday parties - any special occasion.   The Trolleys also offer for educational field trips and special tours, including churches and cemeteries. Albany Trolleys operate seven days a week in peak season. For the Trolley schedule, reservations for daily tours or special charters, contact: Albany Trolleys at the Albany Aqua Ducks 518-462-3825.",42.654040899999998,-73.748252699999995,Tour Operators|Tours & Excursions,Tour operators|Tours & Excursions,http://www.albanyaquaducks.com/pages/trolley.asp,http://iloveny.com/d3k/mem/Generic/10701/2641.jpg,"(42.654040899999998, -73.748252699999995)"
Capital-Saratoga,Albany County,Altamont Vineyard & Winery,"With more than 20 varieties of grapes grown and harvested in the Helderberg mountains of Upstate New York, Altamont Vineyard & Winery produces a distinguished selection of fine wines. The vineyard is also the perfect destination for events, private parties, tastings, and tours.",42.741321900000003,-74.079144999999997,Local food and drinks|Shopping|Tours & Excursions,Specialty Shopping|Wineries,http://www.altamontwinery.com,,"(42.741321900000003, -74.079144999999997)"
Capital-Saratoga,Albany County,American Italian Heritage Museum,"We are committed to record and preserve the contributions of our Italian heritage and culture to our society. The association seeks through its newsletter, cultural programs, activities, exhibits, projects, and outreach, programs  to enhance, highlight, and extend the Italian heritage, history and culture to the public.",42.696328200000004,-73.808146100000002,History & Culture|Museums,,http://www.americanitalianmuseum.org,,"(42.696328200000004, -73.808146100000002)"
Capital-Saratoga,Albany County,Ascents of Adventure,"Caving, rock and ice climbing. Wilderness skills, hiking and youth programs.",42.616411900000003,-73.853408000000002,Land Adventures|Snow Adventures,Caving|Hiking|Ice climbing,http://www.ascentsofadventure.com,,"(42.616411900000003, -73.853408000000002)"
Capital-Saratoga,Albany County,Blain's Bay Marina,Marina located on the Erie Canal (Waterford Lock E-2 - Rotterdam Lock E-9). Marina located in Latham.,42.783338999999998,-73.755784899999995,Water Adventures,Marinas,http://www.blainsbaymarina.com/index.html,,"(42.783338999999998, -73.755784899999995)"
Capital-Saratoga,Albany County,Capitaland Scuba Center,"Diving equipment, instructions and service.",42.750625100000001,-73.764740399999994,Water Adventures,Scuba diving,,,"(42.750625100000001, -73.764740399999994)"
Capital-Saratoga,Albany County,Capital Hills at Albany,"Driving Range is full grass with 100-225 signs, three greens to shoot at, and is also is mapped on skycaddie. Small bucket 35-40 balls - $5, Large bucket 75-80 balls - $10  Martel's Restaurant is located at the golf course. The restaurant provides afull service breakfast, lunch and dinner or a quick snack at the turn.",42.647474000000003,-73.821834899999999,Land Adventures|Restaurants,American|Golf Private|Pub,http://www.caphills.com,,"(42.647474000000003, -73.821834899999999)"
Capital-Saratoga,Albany County,Capital Repertory Theatre,"Award-winning professional regional Theatre, producing world premieres, musicals, classics, new works, cutting-edge comedies and educational programs for more than 25 years.SEE WEBSITE FOR SCHEDULE. Offers all ages a wide array of professional theatre in an intimate, 300-seat theatre.",42.653306499999999,-73.7503277,Arts & Culture,Theater,http://www.capitalrep.org,,"(42.653306499999999, -73.7503277)"
Capital-Saratoga,Albany County,Cathedral of All Saints,"The brainchild of William Croswell Doane (1832-1914); 5th largest cathedral in the nation; 1st Episcopal cathedral in America to be conceived & built on the English model of church, hospital, convent, & school.",42.654752100000003,-73.758248499999993,History & Culture,Historic sites|Religious sites,http://thecathedralofallsaints.org,,"(42.654752100000003, -73.758248499999993)"
Capital-Saratoga,Albany County,Cathedral of the Immaculate Conception,This 1852 cathedral is the Bishop´s church in the Catholic Diocese of Albany; the oldest neo-Gothic cathedral structure in the country.,42.651491,-73.754856000000004,History & Culture|Museums,Historic sites|Historical|Religious sites,http://www.cathedralic.com,,"(42.651491, -73.754856000000004)"
Capital-Saratoga,Albany County,C.H. Evans Brewing Company at The Albany Pump Station,A microbrewery & Full service restaurant with a 120-year family heritage in the brewing industry and located in the original pump station for the Albany Water Works.,42.654071399999999,-73.747508199999999,Local food and drinks|Restaurants,American|Breweries|Local food and drinks,http://www.evansale.com,http://iloveny.com/d3k/mem/Generic/11541/2838.jpg,"(42.654071399999999, -73.747508199999999)"
Capital-Saratoga,Albany County,Clubhouse Race Book & 711 Sports Grill,"State-of-the-art horse racing, simulcasting, and sports facility; offers horse-racing & sports fans a unique experience; wager on live simulcast horse racing from across the nation, receiving track payouts.",42.676710700000001,-73.786191299999999,Restaurants|Sports & Gaming,American|Horse racetracks|Pub,http://capitalotb.com,,"(42.676710700000001, -73.786191299999999)"
Capital-Saratoga,Albany County,Cohoes Falls,"Key destination on the Mohawk Towpath National Scenic Byway; 2nd largest falls in NY; Mohawk River drops 90’ before its confluence with the Hudson. (fishing, hiking or taking photographs of the Falls)",42.783684700000002,-73.708320000000001,Nature,Waterfalls & Gorges,http://friendsofcohoesfalls.org,,"(42.783684700000002, -73.708320000000001)"
Capital-Saratoga,Albany County,Cohoes Music Hall,,42.775604299999998,-73.701605599999994,Arts & Culture,Music|Theater,http://www.cohoesmusichall.com,http://iloveny.com/d3k/mem/Generic/11968/2895.jpg,"(42.775604299999998, -73.701605599999994)"
Capital-Saratoga,Albany County,Colonie Center,"Shopping center, with specialty stores, food court, restaurants.",42.710774800000003,-73.816215999999997,Shopping,Malls & Outlets,,http://iloveny.com/d3k/mem/Generic/1718/481.jpg,"(42.710774800000003, -73.816215999999997)"
Capital-Saratoga,Albany County,Colonie Golf & Country Club,"Colonie Golf & Country Club is the Capital District's premier private golf club.  Located minutes southwest of Albany, NY, the club's members enjoy golf on a pristine championship golf course, exceptional tennis facilities, fine dining restaurant, and an active social calendar.  Contact us today to inquire about a membership.  Our outstanding banquet facilities are also available for wedding receptions, banquets and other events. Banquets, Restaurant Manager 518-765-4100",42.646970000000003,-73.914214700000002,Land Adventures|Restaurants,American|Golf Private,http://www.coloniegcc.com/,,"(42.646970000000003, -73.914214700000002)"
Capital-Saratoga,Albany County,Crossgates Mall,"Large shopping, dining and entertainment complex.  Over 250 specialty shops, 8 theme restaurants and 30 Regal Cinemas.",42.6880448,-73.852385900000002,Shopping,Malls & Outlets,http://www.shopcrossgates.com/,,"(42.6880448, -73.852385900000002)"
Capital-Saratoga,Albany County,Curtain Call Theatre,"Professional theater featuring comedy, mystery and drama. SEE WEBSITE FOR SCHEDULE.",42.7479874,-73.758801500000004,Museums|See & Do,Performing Arts,http://www.curtaincalltheatre.com,,"(42.7479874, -73.758801500000004)"
Capital-Saratoga,Albany County,Diving Discovery Scuba Center,"Diving and snorkeling equipment, service and instructions. Charters on Lake George.",42.719425399999999,-73.834405500000003,Water Adventures,Scuba diving,http://www.divingdiscovery.com,,"(42.719425399999999, -73.834405500000003)"
Capital-Saratoga,Albany County,Dutch Apple Cruises,"Daily cruises from the Capitol city offering narrated sightseeing, luncheon and brunch cruises, entertainment, sunset dinner and custom cruises.",42.685645200000003,-73.729625600000006,Restaurants|Tours & Excursions|Water Adventures,American|Boat tours|Water Adventures,http://www.dutchapplecruises.com,,"(42.685645200000003, -73.729625600000006)"
Capital-Saratoga,Albany County,Dutchaven Golf Course,"Flat; easy walking, 9 holes, par 35. Family-oriented, 15 min. from renown Deer Run Campground. Challenging, but not intimidating.",42.948538399999997,-73.442661400000006,Land Adventures,Golf Private,,,"(42.948538399999997, -73.442661400000006)"
Capital-Saratoga,Albany County,"Egg, The","A work of art in itself, The Egg offers music, theater, dance, family entertainment and special attractions all year round.",42.6504355,-73.759919499999995,Convention Centers,Convention centers,http://www.theegg.org,http://iloveny.com/d3k/mem/Generic/1906/550.jpg,"(42.6504355, -73.759919499999995)"
Capital-Saratoga,Albany County,Ellen Sinopoli Dance Company,"Dazzling with its dynamic brand of modern dance, our resident company pairs highly expressive with charismatic dancers.",42.652579299999999,-73.756231700000001,Museums,Performing Arts,http://www.sinopolidances.org,,"(42.652579299999999, -73.756231700000001)"
Capital-Saratoga,Albany County,Empire State Plaza,"96-acre government office complex includes Cultural Education Center, State Library, NYS Vietnam Memorial. The Governor Nelson A. Rockefeller Empire State Plaza is a unique architectural masterpiece which houses 11,000 New York employees in a complex of ten buildings. The Plaza offers a world-class modern art collection, New York State's Museum, Library and Archives, a distinctive performing arts center, convention center and more.",42.6504355,-73.759919499999995,Arts & Culture|Local food and drinks|Museums|See & Do|Tours & Excursions,Art & Culture Museums|Farmer's markets|Galleries & Art spaces|Tours & Excursions,http://empirestateplaza.org,http://iloveny.com/d3k/mem/Generic/2175/654.jpg,"(42.6504355, -73.759919499999995)"
Capital-Saratoga,Albany County,Empire State Plaza Observation Deck,Overlooks the city of Albany and Hudson River.,42.671098000000001,-73.779847000000004,Tours & Excursions,,http://empirestateplaza.org,,"(42.671098000000001, -73.779847000000004)"
Capital-Saratoga,Albany County,Empire State Plaza - Visitor Assistance,"Come visit the Empire State Plaza!  Tour the State Capitol, the NYS Museum, the art Gallery, go to the Corning Tower's observation deck, or just walk around an take in all the sights and sounds.  If you need any info, stop into the visitor's center.",42.6504355,-73.759919499999995,Agencies|Arts & Culture|Tours & Excursions,Art & Culture|Galleries & Art spaces|InfoCenter (walk-in)|Walking tours,http://empirestateplaza.org,,"(42.6504355, -73.759919499999995)"
Capital-Saratoga,Albany County,Erie Canalway National Heritage Corridor,"Commemorates the impact of the Erie Canal on the creation of the American nation; 524-mile canal system, encompassing 23 counties, is an engineering marvel that knitted together NE & the west.",42.774244600000003,-73.700118700000004,Nature|Outdoor Guide Services|Water Adventures,,http://www.eriecanalway.org,,"(42.774244600000003, -73.700118700000004)"
Capital-Saratoga,Albany County,First Church in Albany,"363 year old church demonstrating many features of Albany's early Dutch culture.  Including nation's oldest pulpit and weathervane, and Tiffany windows.",42.653201000000003,-73.751011000000005,History & Culture,Historic sites|Religious sites,http://www.firstchurchinalbany.org,http://iloveny.com/d3k/mem/Generic/2015/588.jpg,"(42.653201000000003, -73.751011000000005)"
Capital-Saratoga,Albany County,Fishing Licenses,"Fishing licenses are required for persons 16 years of age or older.  They may be purchased statewide from license issuing agents (town and county clerks, some major discount stores, and many sporting goods stores). They can also be purchased by phone with",42.652398400000003,-73.748530900000006,Water Adventures,Fishing,http://www.dec.state.ny.us/website/dfwmr/seasons/foe4clic.html,http://iloveny.com/d3k/mem/Generic/6245/1595.jpg,"(42.652398400000003, -73.748530900000006)"
Capital-Saratoga,Albany County,Five Rivers Environmental Education Center,"400 acres. Outdoor educational programs, visitor center, scenic trails, and picnicking.",42.608776300000002,-73.890414699999994,Land Adventures|Nature|Outdoor Guide Services|Snow Adventures,Gardens & Arboretums|Hiking|Nature|Nature Centers|Skiing (XC)|Wildlife Refuges,http://www.friendsoffiverivers.org/,,"(42.608776300000002, -73.890414699999994)"
Capital-Saratoga,Albany County,French's Hollow Fairways,Challenging 9 hole course. Several improvements made this year.,42.711939999999998,-73.968982999999994,Land Adventures,Golf Private,,,"(42.711939999999998, -73.968982999999994)"
Capital-Saratoga,Albany County,Henry Hudson Planetarium,"Excellent educational resource exploring the skies. Examine planets, constellations, galaxies and sky legends.",42.6539906,-73.748108000000002,Museums,Science-Natural History,http://www.albany.org,http://iloveny.com/d3k/mem/Generic/2290/682.jpg,"(42.6539906, -73.748108000000002)"
Capital-Saratoga,Albany County,Historic Cherry Hill,"Catherine Putnam came to Cherry Hill, the 1787 home of her Van Rensselaer Ancestors-at age 3 following her mother's death.  Her life spanned the Civil War, WWI and WWII, and was marked by major change,  Hear her dramatic story, told through her amazingly intact family collections of 20,000 objects, 30,000 manuscripts 7,500 textiles, 5,000 books ans 3,000 photographs! Things are not always as they seem.",42.634895899999997,-73.762495299999998,History & Culture,Historic sites|Historical museums,http://www.historiccherryhill.org/,http://iloveny.com/d3k/mem/Generic/2320/695.jpg,"(42.634895899999997, -73.762495299999998)"
Capital-Saratoga,Albany County,Hoffman's Playland,"Established 1952. 16 rides, arcade, picnicking, food service.",42.7470225,-73.759008800000004,Amusements|See & Do,Amusement Parks|Family entertainment,http://www.hoffmansplayland.com/default.asp,,"(42.7470225, -73.759008800000004)"
Capital-Saratoga,Albany County,Hollyhock Hollow Sanctuary,"135 acres, 10 mi. of trails through woods, meadows. Over 80 species of birds, wildlife gardens, limestone geology.  Also, headquarters for the Hudson River Center for Migratory Bird Studies.",42.540935500000003,-73.871617700000002,Nature,Birding|Nature Centers,http://www.bethlehembiz.com/parks/,,"(42.540935500000003, -73.871617700000002)"
Capital-Saratoga,Albany County,Hudson-Mohawk Heritage Area/Riverspark Visitor Center,"1874 theatre with a visitor center on first floor. Exhibits, movies, photographs, audio presentations. Part of the Hudson-Mohawk Heritage Area. Gateway to the New York State Canal System.",42.775604299999998,-73.701605599999994,Agencies|Museums,Local tourism|Performing Arts,http://riverspark.org/,,"(42.775604299999998, -73.701605599999994)"
